CODE_FANTOIR;RIVOLI;CLE_CONTROLE
5911960165;0165;M
5911960167;0167;P
5911960169;0169;S
5911960170;0170;T
5911960175;0175;Y
5911960180;0180;D
5911960185;0185;J
5911960190;0190;P
5911960201;0201;B
591201A001;A001;G
591201A002;A002;H
591201A130;A130;X
591201B001;B001;U
591201B002;B002;V
591201B003;B003;W
591201B004;B004;X
591201B005;B005;Y
591201B006;B006;Z
591201B007;B007;A
591201B008;B008;B
591201B009;B009;C
591201B010;B010;D
591201B011;B011;E
591201B012;B012;F
591201B013;B013;G
591201B014;B014;H
591201B015;B015;J
591201B016;B016;K
5912010010;0010;X
5912010015;0015;C
5912010020;0020;H
5912010040;0040;E
5912010060;0060;B
5912010100;0100;V
5912010120;0120;S
5912010140;0140;N
5912010160;0160;K
5912010180;0180;G
5912010185;0185;M
5912010190;0190;T
5912010200;0200;D
591202A001;A001;C
591202B001;B001;P
591202B002;B002;R
591202B003;B003;S
591202B004;B004;T
591202B005;B005;U
591202B006;B006;V
591202B007;B007;W
591202B008;B008;X
591202B009;B009;Y
591202B010;B010;Z
591202B011;B011;A
591202B012;B012;B
591202B013;B013;C
591202B014;B014;D
591202B015;B015;E
591202B016;B016;F
591202B017;B017;G
591202B018;B018;H
591202B019;B019;J
591202B020;B020;K
5912020015;0015;Y
5912020020;0020;D
5912020021;0021;E
5912020029;0029;N
5912020031;0031;R
5912020032;0032;S
5912020033;0033;T
5912020034;0034;U
5912020035;0035;V
5912020040;0040;A
5912020043;0043;D
5912020044;0044;E
5912020045;0045;F
5912020046;0046;G
5912020048;0048;J
5912020050;0050;L
5912020051;0051;M
5912020052;0052;N
5912020054;0054;R
5912020055;0055;S
5912020057;0057;U
5912020060;0060;X
5912020065;0065;C
5912020070;0070;H
5912020075;0075;N
5912020077;0077;R
5912020080;0080;U
5912020082;0082;W
5912020085;0085;Z
5912020087;0087;B
5912020088;0088;C
5912020089;0089;D
5912020090;0090;E
5912020091;0091;F
5912020095;0095;K
5912020100;0100;R
5912020120;0120;M
5912020140;0140;J
5912020145;0145;P
5912020147;0147;S
5912020150;0150;V
5912020155;0155;A
5912020157;0157;C
5912020160;0160;F
5912020165;0165;L
5912020170;0170;S
5912020175;0175;X
5912020180;0180;C
5912020190;0190;N
5912020191;0191;P
5912020192;0192;R
5912020194;0194;T
5912020195;0195;U
5912020200;0200;Z
5912020202;0202;B
5912020205;0205;E
5912020207;0207;G
5912020208;0208;H
5912020210;0210;K
5912020213;0213;N
5912020215;0215;R
5912020216;0216;S
5912020220;0220;W
5912020240;0240;T
5912020250;0250;D
5912020260;0260;P
5912020275;0275;F
5912020280;0280;L
5912020285;0285;S
5912020286;0286;T
5912020290;0290;X
5912020295;0295;C
5912020300;0300;H
5912020305;0305;N
5912020320;0320;E
5912020330;0330;R
5912020340;0340;B
5912020350;0350;M
5912020352;0352;P
5912020360;0360;Y
5912020366;0366;E
5912020370;0370;J
5912020380;0380;V
5912020385;0385;A
5912020390;0390;F
5912020398;0398;P
5912020400;0400;S
5912020405;0405;X
5912020408;0408;A
5912020410;0410;C
5912020415;0415;H
5912020419;0419;M
5912020420;0420;N
5912020422;0422;R
5912020425;0425;U
5912020426;0426;V
5912020427;0427;W
5912020430;0430;Z
5912020432;0432;B
5912020434;0434;D
5912020436;0436;F
5912020440;0440;K
5912020458;0458;E
5912020459;0459;F
5912020460;0460;G
5912020470;0470;T
591208B001;B001;N
591208B002;B002;P
591208B003;B003;R
591208B004;B004;S
591208B005;B005;T
591208B006;B006;U
591208B007;B007;V
591208B008;B008;W
591208B009;B009;X
591208B010;B010;Y
591208B011;B011;Z
591208B012;B012;A
591208B013;B013;B
591208B014;B014;C
591208B015;B015;D
5912080002;0002;H
5912080003;0003;J
5912080004;0004;K
5912080005;0005;L
5912080006;0006;M
5912080010;0010;S
5912080020;0020;C
5912080025;0025;H
5912080030;0030;N
5912080032;0032;R
5912080035;0035;U
5912080042;0042;B
5912080045;0045;E
5912080046;0046;F
5912080048;0048;H
5912080050;0050;K
5912080055;0055;R
5912080056;0056;S
5912080057;0057;T
591220A001;A001;Z
591220A002;A002;A
591220A005;A005;D
591220A010;A010;J
591220A015;A015;P
591220A020;A020;V
591220B001;B001;L
591220B002;B002;M
591220B003;B003;N
591220B004;B004;P
591220B006;B006;S
591220B007;B007;T
591220B008;B008;U
591220B009;B009;V
591220B010;B010;W
591220B011;B011;X
591220B012;B012;Y
591220B013;B013;Z
591220B014;B014;A
591220B016;B016;C
591220B017;B017;D
591220B018;B018;E
591220B020;B020;G
5912200003;0003;G
5912200005;0005;J
5912200010;0010;P
5912200020;0020;A
5912200030;0030;L
5912200035;0035;S
5912200040;0040;X
5912200041;0041;Y
5912200042;0042;Z
5912200043;0043;A
5912200045;0045;C
5912200050;0050;H
5912200060;0060;U
5912200070;0070;E
5912200071;0071;F
5912200075;0075;K
5912200077;0077;M
5912200080;0080;R
5912200090;0090;B
5912200100;0100;M
5912200110;0110;Y
5912200114;0114;C
5912200115;0115;D
5912200117;0117;F
5912200120;0120;J
5912200126;0126;R
5912200130;0130;V
5912200140;0140;F
5912200145;0145;L
5912200146;0146;M
5912200150;0150;S
5912200160;0160;C
5912200180;0180;Z
5912200181;0181;A
5912200182;0182;B
5912200185;0185;E
5912200188;0188;H
5912200190;0190;K
5912200193;0193;N
5912200197;0197;T
5912200200;0200;W
5912200205;0205;B
5912200210;0210;G
5912200220;0220;T
5912200221;0221;U
5912200230;0230;D
5912200241;0241;R
5912200250;0250;A
5912200254;0254;E
5912200256;0256;G
5912200260;0260;L
5912200266;0266;T
5912200267;0267;U
5912200268;0268;V
5912200270;0270;X
5912200280;0280;H
5912200286;0286;P
5912200290;0290;U
5912200300;0300;E
5912200302;0302;G
5912200303;0303;H
5912200305;0305;K
5912200310;0310;R
5912200313;0313;U
5912200318;0318;Z
5912200320;0320;B
5912200325;0325;G
5912200327;0327;J
5912200330;0330;M
5912200340;0340;Y
5912200350;0350;J
5912200360;0360;V
5912200365;0365;A
5912200367;0367;C
5912200368;0368;D
5912200370;0370;F
5912200375;0375;L
5912200380;0380;S
5912200382;0382;U
5912200383;0383;V
5912200388;0388;A
5912200390;0390;C
5912200400;0400;N
5912200410;0410;Z
5912200420;0420;K
5912200430;0430;W
5912200435;0435;B
5912200440;0440;G
5912200445;0445;M
5912200446;0446;N
5912200448;0448;R
5912200450;0450;T
5912200460;0460;D
5912200470;0470;P
5912200480;0480;A
5912200485;0485;F
5912200490;0490;L
5912200491;0491;M
5912200500;0500;X
5912200501;0501;Y
5912200502;0502;Z
5912200510;0510;H
5912200515;0515;N
5912200520;0520;U
5912200525;0525;Z
5912200530;0530;E
5912200532;0532;G
5912200533;0533;H
5912200535;0535;K
5912200539;0539;P
5912200543;0543;U
5912200547;0547;Y
5912200549;0549;A
5912200550;0550;B
5912200560;0560;M
5912200565;0565;T
5912200570;0570;Y
5912200575;0575;D
5912200580;0580;J
5912200590;0590;V
5912200595;0595;A
5912200600;0600;F
5912200610;0610;S
5912200620;0620;C
5912200625;0625;H
5912200630;0630;N
5912200640;0640;Z
5912200650;0650;K
5912200660;0660;W
5912200670;0670;G
5912200671;0671;H
5912200672;0672;J
5912200673;0673;K
5912200682;0682;V
5912200685;0685;Y
5912200687;0687;A
5912200690;0690;D
5912200692;0692;F
5912200693;0693;G
5912200694;0694;H
5912200695;0695;J
5912200696;0696;K
5912200700;0700;P
5912200704;0704;U
5912200705;0705;V
5912200710;0710;A
5912200719;0719;K
5912200720;0720;L
5912200721;0721;M
5912200725;0725;S
5912200730;0730;X
5912200740;0740;H
5912200742;0742;K
5912200745;0745;N
5912200747;0747;R
5912200750;0750;U
5912200760;0760;E
5912200770;0770;R
5912200780;0780;B
5912200791;0791;N
5912200793;0793;R
5912200801;0801;Z
5912200810;0810;J
5912200815;0815;P
5912200825;0825;A
5912200826;0826;B
5912200827;0827;C
5912200828;0828;D
5912200829;0829;E
5912200830;0830;F
5912200831;0831;G
5912200840;0840;S
5912200841;0841;T
5912200842;0842;U
5912200843;0843;V
5912200844;0844;W
5912200845;0845;X
5912200846;0846;Y
5912200847;0847;Z
5912200848;0848;A
5912200849;0849;B
5912200850;0850;C
5912200852;0852;E
5912200855;0855;H
5912200860;0860;N
5912200870;0870;Z
5912200880;0880;K
5912200890;0890;W
5912200900;0900;G
5912200910;0910;T
5912200920;0920;D
5912200921;0921;E
5912200923;0923;G
5912200925;0925;J
5912200928;0928;M
5912200930;0930;P
5912200931;0931;R
5912200932;0932;S
5912200935;0935;V
5912200937;0937;X
5912200938;0938;Y
5912200940;0940;A
5912200950;0950;L
5912200955;0955;S
5912200956;0956;T
5912200957;0957;U
5912200958;0958;V
5912200959;0959;W
5912200960;0960;X
5912200965;0965;C
5912200966;0966;D
5912200968;0968;F
5912200970;0970;H
5912200973;0973;L
5912200975;0975;N
5912200978;0978;S
5912200980;0980;U
5912200990;0990;E
5912200995;0995;K
5912201000;1000;R
5912201005;1005;W
5912201007;1007;Y
5912201010;1010;B
5912201020;1020;M
5912201021;1021;N
5912201022;1022;P
5912201023;1023;R
5912201025;1025;T
5912201026;1026;U
5912201027;1027;V
5912201030;1030;Y
5912201040;1040;J
5912201043;1043;M
5912201045;1045;P
5912201050;1050;V
5912201070;1070;S
5912201071;1071;T
5912201080;1080;C
5912201090;1090;N
5912201100;1100;Z
5912201105;1105;E
5912201107;1107;G
5912201110;1110;K
5912201111;1111;L
5912201112;1112;M
5912201113;1113;N
5912201115;1115;R
5912201117;1117;T
5912201120;1120;W
5912201130;1130;G
5912201133;1133;K
5912201135;1135;M
5912201138;1138;R
5912201140;1140;T
5912201150;1150;D
5912201152;1152;F
5912201153;1153;G
5912201154;1154;H
5912201155;1155;J
5912201156;1156;K
5912201157;1157;L
5912201158;1158;M
5912201159;1159;N
5912201160;1160;P
5912201163;1163;T
5912201167;1167;X
5912201170;1170;A
5912201180;1180;L
591247A001;A001;G
591247A002;A002;H
591247A003;A003;J
591247B001;B001;U
591247B002;B002;V
591247B003;B003;W
591247B004;B004;X
591247B005;B005;Y
591247B006;B006;Z
591247B007;B007;A
591247B008;B008;B
591247B009;B009;C
591247B011;B011;E
591247B012;B012;F
591247B013;B013;G
591247B014;B014;H
5912470010;0010;X
5912470012;0012;Z
5912470020;0020;H
5912470025;0025;N
5912470036;0036;A
5912470040;0040;E
5912470041;0041;F
5912470050;0050;R
5912470060;0060;B
5912470080;0080;Y
5912470081;0081;Z
5912470090;0090;J
5912470100;0100;V
5912470110;0110;F
5912470120;0120;S
5912470140;0140;N
5912470150;0150;Z
5912470160;0160;K
5912470165;0165;R
5912470170;0170;W
5912470180;0180;G
5912470200;0200;D
591250A001;A001;U
591250A002;A002;V
591250A003;A003;W
591250B001;B001;F
591250B002;B002;G
591250B003;B003;H
591250B004;B004;J
591250B005;B005;K
591250B006;B006;L
591250B007;B007;M
591250B008;B008;N
591250B009;B009;P
591250B010;B010;R
591250B011;B011;S
591250B012;B012;T
591250B013;B013;U
591250B014;B014;V
591250B015;B015;W
591250B016;B016;X
591250B017;B017;Y
591250B018;B018;Z
591250B019;B019;A
591250B020;B020;B
5912500020;0020;V
5912500030;0030;F
5912500031;0031;G
5912500035;0035;L
5912500040;0040;S
5912500060;0060;N
5912500081;0081;L
5912500082;0082;M
5912500083;0083;N
5912500084;0084;P
5912500085;0085;R
5912500090;0090;W
5912500091;0091;X
5912500100;0100;G
5912500120;0120;D
5912500140;0140;A
5912500141;0141;B
5912500145;0145;F
5912500149;0149;K
5912500150;0150;L
5912500151;0151;M
5912500152;0152;N
5912500153;0153;P
5912500154;0154;R
5912500155;0155;S
5912500157;0157;U
5912500160;0160;X
5912500170;0170;H
5912500180;0180;U
5912500200;0200;R
5912500220;0220;M
5912500230;0230;Y
5912500240;0240;J
5912500245;0245;P
5912500250;0250;V
5912500260;0260;F
5912500280;0280;C
5912500300;0300;Z
5912500305;0305;E
591252A050;A050;N
591252A051;A051;P
591252A052;A052;R
591252A053;A053;S
591252B001;B001;X
591252B002;B002;Y
591252B003;B003;Z
591252B004;B004;A
591252B005;B005;B
591252B006;B006;C
591252B007;B007;D
591252B008;B008;E
591252B009;B009;F
591252B010;B010;G
591252B011;B011;H
5912520016;0016;G
5912520017;0017;H
5912520020;0020;L
5912520021;0021;M
5912520030;0030;X
5912520035;0035;C
5912520040;0040;H
5912520041;0041;J
5912520060;0060;E
5912520063;0063;H
5912520067;0067;M
5912520069;0069;P
5912520070;0070;R
5912520078;0078;Z
5912520080;0080;B
5912520090;0090;M
5912520100;0100;Y
5912520120;0120;V
5912520126;0126;B
5912520128;0128;D
5912520130;0130;F
5912520133;0133;J
5912520134;0134;K
5912520135;0135;L
5912520137;0137;N
5912520140;0140;S
5912520143;0143;V
5912520160;0160;N
5912520161;0161;P
5912520180;0180;K
5912520200;0200;G
5912520205;0205;M
5912520207;0207;P
5912520215;0215;Y
5912520220;0220;D
5912520238;0238;Y
5912520242;0242;C
5912520250;0250;L
5912520258;0258;V
5912520259;0259;W
5912520260;0260;X
5912520280;0280;U
5912520300;0300;R
5912520320;0320;M
5912520322;0322;P
5912520326;0326;U
5912520330;0330;Y
5912520335;0335;D
5912520340;0340;J
5912520350;0350;V
5912520360;0360;F
5912520370;0370;S
5912520380;0380;C
591256A001;A001;T
591256A002;A002;U
591256A003;A003;V
591256A004;A004;W
591256A005;A005;X
591256A006;A006;Y
591256A007;A007;Z
591256A008;A008;A
591256A009;A009;B
591256B001;B001;E
591256B002;B002;F
591256B003;B003;G
591256B004;B004;H
591256B005;B005;J
591256B006;B006;K
591256B007;B007;L
591256B008;B008;M
591256B009;B009;N
591256B010;B010;P
591256B011;B011;R
591256B012;B012;S
591256B013;B013;T
591256B014;B014;U
591256B015;B015;V
591256B016;B016;W
591256B017;B017;X
591256B018;B018;Y
591256B019;B019;Z
591256B020;B020;A
591256B021;B021;B
591256B022;B022;C
591256B024;B024;E
591256B025;B025;F
591256B026;B026;G
591256B027;B027;H
591256B028;B028;J
591256B029;B029;K
591256B030;B030;L
591256B031;B031;M
591256B032;B032;N
591256B033;B033;P
591256B034;B034;R
591256B035;B035;S
591256B036;B036;T
591256B037;B037;U
591256B038;B038;V
591256B039;B039;W
591256B040;B040;X
591256B041;B041;Y
591256B052;B052;K
591256B053;B053;L
591256B054;B054;M
591256B055;B055;N
591256B056;B056;P
591256B057;B057;R
591256B058;B058;S
591256B059;B059;T
591256B060;B060;U
5912560020;0020;U
5912560030;0030;E
5912560040;0040;R
5912560051;0051;C
5912560057;0057;J
5912560060;0060;M
5912560065;0065;T
5912560070;0070;Y
5912560075;0075;D
5912560080;0080;J
5912560100;0100;F
5912560120;0120;C
5912560121;0121;D
5912560122;0122;E
5912560140;0140;Z
5912560160;0160;W
5912560180;0180;T
5912560183;0183;W
5912560184;0184;X
5912560185;0185;Y
5912560190;0190;D
5912560195;0195;J
5912560200;0200;P
5912560210;0210;A
5912560220;0220;L
5912560240;0240;H
5912560244;0244;M
5912560247;0247;R
5912560250;0250;U
5912560251;0251;V
5912560253;0253;X
5912560254;0254;Y
5912560256;0256;A
5912560260;0260;E
5912560280;0280;B
5912560281;0281;C
5912560282;0282;D
5912560290;0290;M
5912560295;0295;T
5912560300;0300;Y
5912560301;0301;Z
5912560320;0320;V
5912560330;0330;F
5912560331;0331;G
5912560332;0332;H
5912560333;0333;J
5912560334;0334;K
5912560335;0335;L
5912560340;0340;S
5912560350;0350;C
5912560360;0360;N
5912560375;0375;E
5912560380;0380;K
5912560390;0390;W
5912560395;0395;B
5912560399;0399;F
5912560400;0400;G
5912560410;0410;T
5912560411;0411;U
5912560415;0415;Y
5912560420;0420;D
5912560440;0440;A
5912560460;0460;X
5912560485;0485;Z
5912560487;0487;B
5912560502;0502;T
5912560505;0505;W
5912560510;0510;B
5912560520;0520;M
5912560540;0540;J
5912560550;0550;V
5912560560;0560;F
5912560580;0580;C
5912560583;0583;F
5912560585;0585;H
5912560600;0600;Z
5912560602;0602;B
5912560604;0604;D
5912560610;0610;K
5912560615;0615;R
5912560620;0620;W
5912560630;0630;G
5912560640;0640;T
5912560650;0650;D
5912560660;0660;P
5912560661;0661;R
5912560680;0680;L
591257A001;A001;N
591257B001;B001;A
591257B002;B002;B
591257B003;B003;C
591257B004;B004;D
591257B005;B005;E
591257B006;B006;F
591257B007;B007;G
591257B008;B008;H
591257B009;B009;J
591257B010;B010;K
591257B011;B011;L
591257B012;B012;M
591257B013;B013;N
591257B014;B014;P
591257B015;B015;R
591257B016;B016;S
591257B017;B017;T
591257B018;B018;U
591257B019;B019;V
591257B020;B020;W
591257B021;B021;X
591257B023;B023;Z
591257B024;B024;A
591257B025;B025;B
591257B026;B026;C
591257B027;B027;D
591257B028;B028;E
591257B029;B029;F
5912570003;0003;W
5912570013;0013;G
5912570020;0020;P
5912570040;0040;L
5912570045;0045;S
5912570050;0050;X
5912570060;0060;H
5912570065;0065;N
5912570069;0069;T
5912570080;0080;E
5912570082;0082;G
5912570085;0085;K
5912570093;0093;U
5912570095;0095;W
5912570097;0097;Y
5912570100;0100;B
5912570102;0102;D
5912570105;0105;G
5912570110;0110;M
5912570120;0120;Y
5912570121;0121;Z
5912570140;0140;V
5912570160;0160;S
5912570180;0180;N
5912570190;0190;Z
5912570195;0195;E
5912570197;0197;G
5912570198;0198;H
5912570199;0199;J
5912570200;0200;K
5912570201;0201;L
5912570210;0210;W
5912570240;0240;D
5912570250;0250;P
5912570252;0252;S
5912570254;0254;U
5912570270;0270;L
5912570275;0275;S
5912570276;0276;T
591275A001;A001;K
591275A002;A002;L
591275A003;A003;M
591275A004;A004;N
591275A005;A005;P
591275A006;A006;R
591275A007;A007;S
591275A008;A008;T
591275A009;A009;U
591275B001;B001;X
591275B002;B002;Y
591275B003;B003;Z
591275B004;B004;A
591275B005;B005;B
591275B006;B006;C
591275B007;B007;D
591275B008;B008;E
591275B009;B009;F
591275B010;B010;G
591275B011;B011;H
591275X001;X001;Z
5912750020;0020;L
5912750022;0022;N
5912750023;0023;P
5912750024;0024;R
5912750025;0025;S
5912750030;0030;X
5912750039;0039;G
5912750040;0040;H
5912750042;0042;K
5912750043;0043;L
5912750045;0045;N
5912750046;0046;P
5912750063;0063;H
5912750065;0065;K
5912750067;0067;M
5912750068;0068;N
5912750075;0075;W
5912750080;0080;B
5912750081;0081;C
5912750090;0090;M
5912750091;0091;N
5912750095;0095;T
5912750100;0100;Y
5912750110;0110;J
5912750120;0120;V
5912750125;0125;A
5912750130;0130;F
5912750135;0135;L
5912750140;0140;S
5912750141;0141;T
5912750150;0150;C
5912750155;0155;H
5912750157;0157;K
5912750158;0158;L
5912750159;0159;M
5912750160;0160;N
5912750180;0180;K
5912750200;0200;G
5912750210;0210;T
5912750213;0213;W
5912750215;0215;Y
5912750219;0219;C
5912750220;0220;D
5912750221;0221;E
5912750222;0222;F
5912750223;0223;G
5912750224;0224;H
5912750225;0225;J
5912750227;0227;L
5912750228;0228;M
5912750229;0229;N
5912750230;0230;P
5912750235;0235;V
5912750237;0237;X
5912750238;0238;Y
5912750239;0239;Z
5912750240;0240;A
5912750245;0245;F
5912750260;0260;X
591278A001;A001;X
591278A002;A002;Y
591278A003;A003;Z
591278B001;B001;J
591278B002;B002;K
591278B003;B003;L
591278B004;B004;M
591278B005;B005;N
591278B006;B006;P
591278B007;B007;R
591278B008;B008;S
591278B009;B009;T
591278B010;B010;U
591278B011;B011;V
591278B012;B012;W
591278B013;B013;X
591278B014;B014;Y
591278B015;B015;Z
591278B016;B016;A
591278B017;B017;B
591278B018;B018;C
5912780005;0005;G
5912780010;0010;M
5912780020;0020;Y
5912780040;0040;V
5912780060;0060;S
5912780080;0080;N
5912780090;0090;Z
5912780100;0100;K
5912780101;0101;L
5912780110;0110;W
5912780111;0111;X
5912780120;0120;G
5912780140;0140;D
5912780180;0180;X
5912780195;0195;N
5912780200;0200;U
5912780220;0220;R
5912780240;0240;M
5912780260;0260;J
5912780270;0270;V
5912780280;0280;F
5912780300;0300;C
5912780305;0305;H
5912780306;0306;J
5912780308;0308;L
5912780310;0310;N
5912780320;0320;Z
5912780325;0325;E
5912780340;0340;W
5912780350;0350;G
5912780360;0360;T
5912780370;0370;D
5912780371;0371;E
5912780372;0372;F
5912780380;0380;P
5912780400;0400;L
5912780420;0420;H
5912780440;0440;E
5912780460;0460;B
5912780465;0465;G
5912780480;0480;Y
5912780482;0482;A
5912780485;0485;D
5912780490;0490;J
5912780500;0500;V
5912780519;0519;R
5912780520;0520;S
5912780526;0526;Y
5912780527;0527;Z
5912780528;0528;A
5912780529;0529;B
5912780530;0530;C
5912780539;0539;M
5912780540;0540;N
5912780541;0541;P
5912780542;0542;R
5912780560;0560;K
5912780570;0570;W
5912780580;0580;G
5912780590;0590;T
5912780595;0595;Y
5912780597;0597;A
5912780600;0600;D
5912780601;0601;E
5912780610;0610;P
5912780620;0620;A
5912780640;0640;X
5912780660;0660;U
5912780680;0680;R
591279A001;A001;T
591279A009;A009;B
591279A080;A080;D
591279A081;A081;E
591279A100;A100;A
591279B001;B001;E
591279B002;B002;F
591279B003;B003;G
591279B004;B004;H
591279B005;B005;J
591279B006;B006;K
591279B007;B007;L
591279B009;B009;N
591279B010;B010;P
591279B011;B011;R
591279B012;B012;S
591279B013;B013;T
591279B014;B014;U
591279B015;B015;V
591279B016;B016;W
591279B017;B017;X
591279B018;B018;Y
591279B019;B019;Z
591279B020;B020;A
591279B021;B021;B
591279B022;B022;C
591279B023;B023;D
591279B024;B024;E
591279B025;B025;F
591279B026;B026;G
591279B027;B027;H
591279B028;B028;J
591279B029;B029;K
591279B030;B030;L
591279B031;B031;M
591279B033;B033;P
591279B034;B034;R
591279B035;B035;S
591279B036;B036;T
591279B037;B037;U
591279X001;X001;G
5912790004;0004;B
5912790010;0010;H
5912790020;0020;U
5912790025;0025;Z
5912790030;0030;E
5912790035;0035;K
5912790036;0036;L
5912790037;0037;M
5912790040;0040;R
5912790045;0045;W
5912790048;0048;Z
5912790050;0050;B
5912790051;0051;C
5912790052;0052;D
5912790053;0053;E
5912790060;0060;M
5912790070;0070;Y
5912790075;0075;D
5912790076;0076;E
5912790080;0080;J
5912790081;0081;K
5912790090;0090;V
5912790100;0100;F
5912790111;0111;T
5912790112;0112;U
5912790113;0113;V
5912790114;0114;W
5912790116;0116;Y
5912790118;0118;A
5912790119;0119;B
5912790120;0120;C
5912790123;0123;F
5912790124;0124;G
5912790125;0125;H
5912790126;0126;J
5912790130;0130;N
5912790135;0135;U
5912790140;0140;Z
5912790141;0141;A
5912790145;0145;E
5912790150;0150;K
5912790152;0152;M
5912790155;0155;R
5912790157;0157;T
5912790158;0158;U
5912790160;0160;W
5912790162;0162;Y
5912790163;0163;Z
5912790165;0165;B
5912790166;0166;C
5912790167;0167;D
5912790168;0168;E
5912790172;0172;J
5912790180;0180;T
5912790185;0185;Y
5912790187;0187;A
5912790190;0190;D
5912790192;0192;F
5912790195;0195;J
5912790200;0200;P
5912790204;0204;U
5912790209;0209;Z
5912790210;0210;A
5912790218;0218;J
5912790219;0219;K
5912790220;0220;L
5912790225;0225;S
5912790230;0230;X
5912790235;0235;C
5912790240;0240;H
5912790250;0250;U
5912790260;0260;E
5912790265;0265;K
5912790270;0270;R
5912790280;0280;B
5912790284;0284;F
5912790290;0290;M
5912790291;0291;N
5912790300;0300;Y
5912790310;0310;J
5912790311;0311;K
5912790312;0312;L
5912790314;0314;N
5912790315;0315;P
5912790320;0320;V
5912790323;0323;Y
5912790325;0325;A
5912790327;0327;C
5912790329;0329;E
5912790330;0330;F
5912790334;0334;K
5912790340;0340;S
5912790343;0343;V
5912790351;0351;D
5912790354;0354;G
5912790360;0360;N
5912790370;0370;Z
5912790375;0375;E
5912790380;0380;K
5912790381;0381;L
5912790385;0385;R
5912790387;0387;T
5912790390;0390;W
5912790392;0392;Y
5912790393;0393;Z
5912790395;0395;B
5912790400;0400;G
5912790408;0408;R
5912790410;0410;T
5912790411;0411;U
5912790412;0412;V
5912790420;0420;D
5912790425;0425;J
5912790426;0426;K
5912790427;0427;L
5912790428;0428;M
5912790435;0435;V
5912790440;0440;A
5912790450;0450;L
5912790455;0455;S
5912790460;0460;X
5912790466;0466;D
5912790468;0468;F
5912790470;0470;H
5912790480;0480;U
5912790486;0486;A
5912790490;0490;E
5912790496;0496;L
5912790500;0500;R
5912790501;0501;S
5912790502;0502;T
5912790503;0503;U
5912790504;0504;V
5912790507;0507;Y
5912790510;0510;B
5912790517;0517;J
5912790520;0520;M
5912790530;0530;Y
5912790532;0532;A
5912790535;0535;D
5912790540;0540;J
5912790550;0550;V
5912790552;0552;X
5912790560;0560;F
5912790563;0563;J
5912790564;0564;K
5912790565;0565;L
5912790570;0570;S
5912790575;0575;X
5912790580;0580;C
5912790590;0590;N
5912790595;0595;U
5912790600;0600;Z
5912790605;0605;E
5912790610;0610;K
5912790620;0620;W
5912790625;0625;B
5912790627;0627;D
5912790630;0630;G
5912790640;0640;T
5912790645;0645;Y
5912790650;0650;D
5912790652;0652;F
5912790653;0653;G
5912790660;0660;P
5912790662;0662;S
5912790669;0669;Z
5912790670;0670;A
5912790671;0671;B
5912790677;0677;H
5912790679;0679;K
5912790680;0680;L
5912790690;0690;X
5912790700;0700;H
5912790702;0702;K
5912790704;0704;M
5912790705;0705;N
5912790706;0706;P
5912790707;0707;R
5912790708;0708;S
5912790720;0720;E
5912790730;0730;R
5912790731;0731;S
5912790740;0740;B
5912790750;0750;M
5912790755;0755;T
5912790760;0760;Y
5912790761;0761;Z
5912790762;0762;A
5912790763;0763;B
5912790765;0765;D
5912790768;0768;G
5912790770;0770;J
5912790776;0776;R
5912790780;0780;V
5912790785;0785;A
5912790787;0787;C
5912790789;0789;E
5912790790;0790;F
5912790800;0800;S
5912790810;0810;C
5912790813;0813;F
5912790815;0815;H
5912790818;0818;L
5912790821;0821;P
5912790823;0823;S
5912790827;0827;W
5912790830;0830;Z
5912790833;0833;C
5912790834;0834;D
5912790836;0836;F
5912790837;0837;G
5912790838;0838;H
5912790839;0839;J
5912790840;0840;K
5912790841;0841;L
5912790842;0842;M
5912790847;0847;T
5912790850;0850;W
5912790860;0860;G
5912790861;0861;H
5912790863;0863;K
5912790864;0864;L
5912790865;0865;M
5912790870;0870;T
5912790880;0880;D
5912790881;0881;E
5912790890;0890;P
5912790895;0895;V
5912790900;0900;A
5912790901;0901;B
5912790902;0902;C
5912790903;0903;D
5912790905;0905;F
5912790910;0910;L
5912790920;0920;X
5912790923;0923;A
5912790925;0925;C
5912790927;0927;E
5912790930;0930;H
5912790935;0935;N
5912790937;0937;R
5912790939;0939;T
5912790942;0942;W
5912790949;0949;D
5912790950;0950;E
5912790951;0951;F
5912790953;0953;H
5912790954;0954;J
5912790956;0956;L
5912790957;0957;M
5912790958;0958;N
5912790959;0959;P
5912790960;0960;R
5912790961;0961;S
5912790963;0963;U
5912790964;0964;V
5912790966;0966;X
5912790967;0967;Y
5912790968;0968;Z
5912790969;0969;A
5912790970;0970;B
5912790971;0971;C
5912790972;0972;D
5912790973;0973;E
5912790975;0975;G
5912790980;0980;M
5912790985;0985;T
5912790990;0990;Y
5912790992;0992;A
5912790997;0997;F
5912791000;1000;J
5912791010;1010;V
5912791012;1012;X
5912791015;1015;A
5912791020;1020;F
5912791028;1028;P
5912791030;1030;S
5912791035;1035;X
5912791040;1040;C
5912791045;1045;H
5912791047;1047;K
5912791050;1050;N
5912791060;1060;Z
5912791065;1065;E
5912791070;1070;K
5912791072;1072;M
5912791075;1075;R
5912791076;1076;S
5912791077;1077;T
5912791078;1078;U
5912791080;1080;W
5912791085;1085;B
5912791086;1086;C
5912791087;1087;D
5912791088;1088;E
5912791089;1089;F
5912791090;1090;G
5912791091;1091;H
5912791093;1093;K
