CODE_FANTOIR;RIVOLI;CLE_CONTROLE
5910090294;0294;R
5910090295;0295;S
5910090296;0296;T
5910090297;0297;U
5910090298;0298;V
5910090299;0299;W
5910090300;0300;X
5910090301;0301;Y
5910090302;0302;Z
5910090303;0303;A
5910090304;0304;B
5910090305;0305;C
5910090308;0308;F
5910090309;0309;G
5910090312;0312;K
5910090313;0313;L
5910090314;0314;M
5910090316;0316;P
5910090317;0317;R
5910090319;0319;T
5910090320;0320;U
5910090321;0321;V
5910090322;0322;W
5910090323;0323;X
5910090324;0324;Y
5910090325;0325;Z
5910090326;0326;A
5910090327;0327;B
5910090328;0328;C
5910090329;0329;D
5910090331;0331;F
5910090333;0333;H
5910090335;0335;K
5910090337;0337;M
5910090338;0338;N
5910090339;0339;P
5910090341;0341;S
5910090342;0342;T
5910090343;0343;U
5910090344;0344;V
5910090345;0345;W
5910090346;0346;X
5910090347;0347;Y
5910090348;0348;Z
5910090349;0349;A
5910090350;0350;B
5910090351;0351;C
5910090352;0352;D
5910090353;0353;E
5910090354;0354;F
5910090356;0356;H
5910090357;0357;J
5910090361;0361;N
5910090364;0364;S
5910090365;0365;T
5910090366;0366;U
5910090367;0367;V
5910090368;0368;W
5910090371;0371;Z
5910090372;0372;A
5910090373;0373;B
5910090376;0376;E
5910090377;0377;F
5910090378;0378;G
5910090379;0379;H
5910090380;0380;J
5910090381;0381;K
5910090390;0390;V
5910090391;0391;W
5910090393;0393;Y
5910090394;0394;Z
5910090395;0395;A
5910090397;0397;C
5910090398;0398;D
5910090399;0399;E
5910090400;0400;F
5910090401;0401;G
5910090402;0402;H
5910090403;0403;J
5910090404;0404;K
5910090405;0405;L
5910090406;0406;M
5910090407;0407;N
5910090408;0408;P
5910090409;0409;R
5910090410;0410;S
5910090411;0411;T
5910090412;0412;U
5910090413;0413;V
5910090414;0414;W
5910090415;0415;X
5910090416;0416;Y
5910090417;0417;Z
5910090418;0418;A
5910090419;0419;B
5910090420;0420;C
5910090421;0421;D
5910090423;0423;F
5910090424;0424;G
5910090426;0426;J
5910090427;0427;K
5910090428;0428;L
5910090431;0431;P
5910090432;0432;R
5910090433;0433;S
5910090441;0441;A
5910090451;0451;L
5910090461;0461;X
5910090465;0465;B
5910090471;0471;H
5910090481;0481;U
5910090491;0491;E
5910090501;0501;R
5910090506;0506;W
5910090510;0510;A
5910090521;0521;M
5910090531;0531;Y
5910090532;0532;Z
5910090541;0541;J
5910090551;0551;V
5910090556;0556;A
5910090561;0561;F
5910090570;0570;R
5910090571;0571;S
5910090572;0572;T
5910090581;0581;C
5910090591;0591;N
5910090601;0601;Z
5910090602;0602;A
5910090612;0612;L
5910090615;0615;P
5910090618;0618;T
5910090621;0621;W
5910090631;0631;G
5910090632;0632;H
5910090634;0634;K
5910090635;0635;L
5910090636;0636;M
5910090637;0637;N
5910090638;0638;P
5910090639;0639;R
5910090640;0640;S
5910090641;0641;T
5910090642;0642;U
5910090643;0643;V
5910090644;0644;W
5910090645;0645;X
5910090646;0646;Y
5910090647;0647;Z
5910090648;0648;A
5910090649;0649;B
5910090650;0650;C
5910090651;0651;D
5910090652;0652;E
5910090653;0653;F
5910090661;0661;P
5910090662;0662;R
5910090671;0671;A
5910090675;0675;E
5910090691;0691;X
5910090695;0695;B
